genreId,genreName
g_3118,Essayfilm
g_15678,Travel documentary
g_19717,Biographical documentary
g_8708,comedy sketches
g_8708,Sketch
g_2729,Accident
g_3108,Nudie Film
g_14695,Exploitation Film
g_2757,Low Fantasy
g_18323,Parascientific Documentary
g_18323,Pseudoscientific Documentary
g_3119,Cultural Film
g_1124,Anarchic Comedy Film
g_89,Treasure Hunting
g_14640,Soap Opera
g_3123,Pen And Paper Game
g_3123,Role-Playing Game
g_200,Scientific Documentary
g_7930,TV Magazine
g_7932,TV report
g_15774,Archival footage
g_15774,Archive material
g_15774,Stock footage
g_862,Nollywood Film
g_7929,Game Show
g_15131,Superpowers
g_6725,Thousand and One Nights
g_2758,Art Fairy Tale
g_2758,Art Fairy-Tale
g_2758,Literary Fairy Tale
g_2758,Literary Fairy-Tale
g_15737,Mollywood Film
g_15737,Mollywood-Film
g_17412,Masked Vigilante
g_18215,Pink Eiga
g_18215,Pink film
g_18215,Pinku eiga
g_19602,Open World Game
g_19604,3rd-person perspective
g_19606,Singleplayer
g_201,Investigative Documentary
g_8530,Computer Generated Imagery
g_1038,Expressionism
g_3129,Saga
g_15673,Sundance Winner
g_4288,Animated Sequences
g_4288,Animated Title Sequence
g_190,Classical Western
g_3112,Sex Report Film
g_162,Cannibal-Movie
g_3141,Fabel
g_3141,Fable
g_3127,Oral Tradition
g_3127,??berlieferung
g_1144,MacGuffin
g_19609,Co-op
g_14942,Historiendrama
g_1086,neo-noir
g_1249,Student Graduation Film
g_16914,Heroic Bloodshed
g_9496,Hong Kong
g_10947,One Day
g_868,Senior Citizens
g_19648,Dokufiction
g_2395,Blaxploitation
g_3107,Lederhosen Film
g_18847,Found Footage
g_1093,DEFA-Film
g_9636,Skandinavian Cinema
g_18305,Shaky camera
g_18305,Shaky-cam
g_18304,Lost
g_14711,Opera
g_40,Late Western
g_3146,Tragicomedy
g_8867,Radio Play
g_2746,Truck Film
g_2746,Trucker Film
g_1246,Digital Video
g_16286,Giallo
g_16186,Mumblecore
g_19778,Grimme-Preis
g_19772,Vorbehaltsfilm
g_10106,Bad Cop
g_2744,Motor-Bike Film
g_2744,Motor-Cycle Film
g_2744,Motorbike Film
g_2744,Motorcycle Film
g_17724,Mondo film
g_7593,Production Code
g_9031,Idealist
g_1500,Real Time
g_16918,Bruceploitation
g_1823,Neue Sachlichkeit
g_1823,New Objectivity
g_18370,Fake
g_1179,Swish Pan
g_756,Wide-Angle Lens
g_3142,Poem
g_9181,Alter Ego
g_1204,Worm's Eye View
g_1840,Cin??ma V??rit??
g_3139,Parable
g_3147,Modern Theater Play
g_3147,Modern Theatre Play
g_1100,Free Cinema
g_3081,Racing Film
g_9728,New African Cinema
g_3916,weather
g_4840,long shot
g_1089,Caligarism
g_1105,Absolute Film
g_1217,Hard Shadow
g_17315,Kollywood-Film
g_15191,Strange
g_1050,Vamp
g_19773,Fliegerfilm
g_1187,Static Camera
g_1580,Mexican Cinema
g_14295,Nazi entertainment
g_1282,Match Cut
g_9779,Perspective
g_1064,Fast Motion
g_1064,Zeitraffer
g_4843,close shot
g_10461,Off-Stimme
g_1221,Day for Night
g_1062,Look
g_3919,weapons
g_15098,3D conversion
g_9577,Cell Phone Camera
g_9577,Mobile Phone Camera
g_228,French Cinema
g_1145,Character Acting
g_1151,Character Development
g_1214,Key Light
g_1092,Post-War Tr??mmerfilm
g_1070,Blue Screen
g_1070,Chroma key
g_1153,Not Developing
g_1058,Color Grading
g_1176,Macro View
g_1061,Grain
g_1207,Establishing Shot
g_4863,180-degree rule
g_4867,Sound Mixing
g_4869,Sound Design
g_6353,Heterodiegetic Narrator
g_6353,Third Person Narrator
g_3917,Pyrotechnics
g_1149,Method Acting
g_17505,Masala-Film
g_1219,Overexposure
g_8949,Starry-eyed idealist
g_757,Stop Motion
g_1066,Morphing
g_1067,Rear Projection
