movieId,peopleId
2210,p_22669
2241,p_23116
2269,p_23430
2318,p_23858
2384,p_24443
2395,p_24886
2395,p_20674
2460,p_16435
2469,p_309
2517,p_25645
2574,p_15389
2623,p_18596
2671,p_26875
2673,p_26882
2796,p_28143
2860,p_28615
2897,p_20412
2899,p_66481
2901,p_28783
2965,p_20412
2968,p_29108
2968,p_29109
3025,p_29662
3040,p_23430
3059,p_8812
3073,p_30099
3079,p_29662
3050,p_31024
3176,p_31074
3421,p_194
3291,p_1461
3512,p_32277
3421,p_32297
3549,p_1011
3546,p_32689
3640,p_18903
3716,p_5125
3763,p_33727
3764,p_33727
3777,p_5026
3780,p_5026
3782,p_5026
3870,p_4956
3875,p_1011
3901,p_31804
3921,p_31804
3964,p_2406
4011,p_510
4031,p_34262
4043,p_309
4116,p_34796
3965,p_16919
4176,p_39996
4180,p_35208
4241,p_17282
4271,p_20849
4283,p_35971
4291,p_3317
4348,p_36588
4382,p_36387
1698,p_15115
4421,p_578
4494,p_37513
4396,p_36387
4516,p_37626
4437,p_37710
4527,p_37742
4528,p_37770
4546,p_37915
4548,p_37186
4553,p_37948
4561,p_38007
4588,p_1614
4481,p_20718
4482,p_35137
4486,p_38516
4611,p_18969
4655,p_38756
4689,p_10099
4816,p_4429
4835,p_24380
4918,p_40007
4921,p_40016
4929,p_18635
4935,p_608
4973,p_72430
4977,p_40333
5000,p_9740
5050,p_40892
5055,p_2801
5155,p_15127
5156,p_12329
5165,p_15189
5168,p_41788
5488,p_10099
5493,p_43652
5552,p_44070
5644,p_44562
5654,p_44644
5654,p_44645
5622,p_4415
5781,p_793
5801,p_12160
5846,p_45996
5879,p_46230
5885,p_46258
5889,p_45996
5900,p_27875
5901,p_32012
5910,p_3317
5961,p_6648
5971,p_17016
6073,p_1704
6079,p_11688
6181,p_20869
6278,p_12523
6283,p_1704
6419,p_18598
6498,p_22676
6619,p_15127
663,p_2675
6691,p_51116
6312,p_8296
6435,p_2171
7217,p_20869
7229,p_38507
7343,p_52528
7347,p_52576
7549,p_17268
7942,p_14409
8072,p_3776
8073,p_3776
8075,p_3776
8056,p_20430
8078,p_2419
8221,p_309
8222,p_309
8265,p_37627
1245,p_54441
8328,p_54507
8342,p_20028
8392,p_608
8386,p_54584
8422,p_15127
8439,p_52576
8439,p_10040
8467,p_7396
8467,p_7395
8469,p_4610
1396,p_8452
8672,p_6818
8696,p_24248
628,p_17016
8833,p_56033
8846,p_56069
8697,p_64438
8875,p_42712
8920,p_18357
8923,p_56359
8938,p_21684
8938,p_27977
8938,p_201
8816,p_5306
8953,p_185
8974,p_51000
8859,p_56591
9025,p_40506
9051,p_1927
9059,p_10953
9059,p_15521
9090,p_20237
9273,p_4489
9299,p_19840
9360,p_26648
9378,p_57521
9393,p_52961
9394,p_56033
9472,p_57633
9473,p_34517
9400,p_37932
9465,p_9789
9464,p_22461
9462,p_19429
9463,p_57730
9463,p_57731
9460,p_57832
9550,p_607
9564,p_11201
9571,p_564
9454,p_17167
9581,p_52567
9581,p_58052
9642,p_58268
9642,p_58269
9431,p_10953
9696,p_17282
9056,p_64438
9075,p_10491
9536,p_57870
9694,p_17282
9764,p_5026
9775,p_59143
9807,p_56742
9753,p_59023
9929,p_24530
9929,p_60680
9929,p_24531
9945,p_11770
10024,p_11151
10027,p_18865
10044,p_62410
10071,p_59414
10086,p_63174
10092,p_55075
10130,p_10781
9559,p_190
10162,p_64045
10180,p_1012
10155,p_1152
10157,p_41720
10226,p_59291
10238,p_6648
10239,p_28615
10258,p_62047
10216,p_21377
10284,p_3289
10293,p_28615
10315,p_5655
10341,p_2303
10355,p_70343
10348,p_64901
10404,p_607
10401,p_37626
10424,p_8966
10366,p_18889
10375,p_33254
10450,p_52329
10451,p_1614
10333,p_10400
9833,p_5572
10486,p_58712
10228,p_65428
10228,p_65429
10515,p_608
10585,p_64796
10587,p_65688
10616,p_65931
10617,p_56807
10618,p_56807
10619,p_56807
10622,p_62410
10643,p_50651
10681,p_7
10753,p_64438
10775,p_66718
10726,p_66800
10795,p_19866
10819,p_66969
10842,p_67075
10918,p_42274
10920,p_56339
