movieId,genreId
596,g_6033
596,g_10221
596,g_10225
598,g_69
598,g_80
598,g_329
598,g_2738
598,g_6033
598,g_10221
598,g_10224
598,g_10225
598,g_10282
599,g_18
599,g_33
599,g_49
599,g_50
599,g_114
599,g_644
599,g_1110
599,g_3165
599,g_5702
599,g_10221
599,g_10227
599,g_10281
599,g_11083
601,g_12
601,g_13
601,g_17
601,g_18
601,g_50
601,g_104
601,g_878
601,g_1109
601,g_1110
601,g_10221
601,g_10224
601,g_10281
613,g_31
613,g_36
613,g_92
613,g_209
613,g_210
613,g_353
613,g_7424
613,g_10223
613,g_10224
613,g_10227
613,g_10282
614,g_49
614,g_219
614,g_302
614,g_353
614,g_1110
614,g_17580
628,g_18
628,g_36
628,g_50
628,g_104
628,g_163
628,g_818
628,g_939
628,g_1109
628,g_6033
628,g_10220
628,g_10221
628,g_10223
628,g_10224
628,g_10226
637,g_54
637,g_71
637,g_92
637,g_116
637,g_122
637,g_124
637,g_126
637,g_219
637,g_303
637,g_1088
637,g_10216
637,g_10217
637,g_10221
637,g_10224
637,g_10281
643,g_36
643,g_44
643,g_301
643,g_354
643,g_1078
643,g_1087
643,g_1116
643,g_1135
643,g_3148
643,g_3162
643,g_10222
643,g_10223
643,g_10228
644,g_17
644,g_18
644,g_43
644,g_50
644,g_878
644,g_1109
644,g_3138
644,g_6033
644,g_10221
644,g_10223
644,g_10224
644,g_10282
648,g_13
648,g_33
648,g_353
648,g_1103
648,g_2895
650,g_44
650,g_49
650,g_69
650,g_80
650,g_10214
650,g_10223
650,g_10225
650,g_13547
651,g_32
651,g_49
651,g_116
651,g_6033
663,g_28
663,g_39
663,g_50
663,g_141
663,g_157
663,g_329
663,g_874
663,g_2579
663,g_10225
663,g_10227
666,g_44
666,g_54
666,g_71
666,g_1115
666,g_4220
666,g_10282
666,g_17580
670,g_49
670,g_79
670,g_85
670,g_141
670,g_219
670,g_329
670,g_541
670,g_864
670,g_867
670,g_874
670,g_1112
670,g_1133
670,g_3918
670,g_10067
670,g_10215
670,g_10221
670,g_10222
670,g_10224
670,g_10225
670,g_10227
671,g_12
671,g_14
671,g_17
671,g_50
671,g_104
671,g_152
671,g_818
671,g_1049
671,g_1109
671,g_3160
671,g_10214
671,g_10215
671,g_10216
671,g_10282
697,g_36
697,g_101
697,g_206
697,g_209
697,g_354
697,g_1116
697,g_1165
697,g_1167
697,g_3148
697,g_3162
697,g_3165
722,g_50
722,g_117
722,g_124
722,g_1108
722,g_1109
722,g_1119
722,g_2713
722,g_10216
723,g_36
723,g_101
723,g_202
723,g_206
723,g_3148
723,g_3162
723,g_3163
723,g_3165
723,g_10223
733,g_28
733,g_50
733,g_76
733,g_85
733,g_163
733,g_10214
733,g_10225
733,g_10226
734,g_28
734,g_50
734,g_85
734,g_163
734,g_1108
734,g_1109
734,g_10214
734,g_10215
740,g_50
740,g_85
740,g_104
740,g_864
740,g_866
740,g_1108
740,g_1109
740,g_2891
740,g_3160
740,g_10214
740,g_10215
742,g_56
742,g_3163
763,g_49
763,g_56
763,g_86
763,g_157
763,g_164
763,g_303
763,g_329
763,g_541
763,g_874
763,g_1112
763,g_1137
763,g_10226
763,g_10227
772,g_17
772,g_35
772,g_50
772,g_124
772,g_869
772,g_3160
772,g_10105
772,g_10216
772,g_10217
772,g_10221
777,g_18
777,g_31
777,g_1104
784,g_54
784,g_71
784,g_303
784,g_2731
789,g_32
789,g_33
789,g_122
789,g_126
789,g_3165
789,g_9595
803,g_99
803,g_874
803,g_1112
803,g_1122
803,g_3159
803,g_3165
807,g_27
807,g_50
807,g_104
807,g_141
807,g_251
807,g_864
807,g_1109
807,g_1110
807,g_3135
807,g_3148
807,g_10215
807,g_10222
807,g_10223
807,g_10224
807,g_10225
807,g_10226
807,g_10227
807,g_10282
811,g_49
811,g_864
811,g_1085
811,g_1109
811,g_2979
827,g_27
827,g_79
827,g_141
827,g_6033
832,g_44
832,g_141
832,g_209
832,g_251
832,g_867
832,g_1110
832,g_3165
832,g_10215
832,g_10222
832,g_10225
832,g_10227
834,g_14
834,g_28
834,g_161
834,g_163
834,g_329
834,g_864
834,g_867
834,g_10214
834,g_10215
834,g_10226
834,g_14926
880,g_35
880,g_87
880,g_133
880,g_303
880,g_1119
880,g_2370
880,g_10216
880,g_10221
880,g_10228
895,g_36
895,g_210
895,g_353
895,g_1110
895,g_1123
895,g_2890
895,g_3165
928,g_50
928,g_1109
928,g_1137
928,g_10215
928,g_10216
928,g_10226
928,g_16304
931,g_49
931,g_79
931,g_867
931,g_1110
931,g_3138
931,g_3148
931,g_6033
934,g_49
934,g_241
